2025-12-03 02:29:49 install tar:amd64 <none> 1.35+dfsg-3.1
2025-12-03 02:29:49 status half-installed tar:amd64 1.35+dfsg-3.1
2025-12-03 02:29:49 status unpacked tar:amd64 1.35+dfsg-3.1
2025-12-03 02:29:49 install tzdata:all <none> 2025b-5
2025-12-03 02:29:49 status half-installed tzdata:all 2025b-5
2025-12-03 02:29:49 status unpacked tzdata:all 2025b-5
2025-12-03 02:29:49 install util-linux:amd64 <none> 2.41.2-4
2025-12-03 02:29:49 status half-installed util-linux:amd64 2.41.2-4
2025-12-03 02:29:49 status unpacked util-linux:amd64 2.41.2-4
2025-12-03 02:29:49 install zlib1g:amd64 <none> 1:1.3.dfsg+really1.3.1-1+b1
2025-12-03 02:29:49 status half-installed zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-12-03 02:29:49 status unpacked zlib1g:amd64 1:1.3.dfsg+really1.3.1-1+b1
2025-12-03 02:29:49 startup packages configure
2025-12-03 02:29:49 configure login.defs:all 1:4.18.0-2 <none>
2025-12-03 02:29:49 status unpacked login.defs:all 1:4.18.0-2
2025-12-03 02:29:49 status half-configured login.defs:all 1:4.18.0-2
2025-12-03 02:29:49 status installed login.defs:all 1:4.18.0-2
2025-12-03 02:29:49 configure debian-archive-keyring:all 2025.1 <none>
2025-12-03 02:29:49 status unpacked debian-archive-keyring:all 2025.1
2025-12-03 02:29:49 status half-configured debian-archive-keyring:all 2025.1
2025-12-03 02:29:49 status installed debian-archive-keyring:all 2025.1
2025-12-03 02:29:49 configure libaudit-common:all 1:4.1.2-1 <none>
2025-12-03 02:29:49 status unpacked libaudit-common:all 1:4.1.2-1
2025-12-03 02:29:49 status half-configured libaudit-common:all 1:4.1.2-1
2025-12-03 02:29:49 status installed libaudit-common:all 1:4.1.2-1
2025-12-03 02:29:49 configure libsemanage-common:all 3.9-1 <none>
2025-12-03 02:29:49 status unpacked libsemanage-common:all 3.9-1
2025-12-03 02:29:49 status half-configured libsemanage-common:all 3.9-1
2025-12-03 02:29:49 status installed libsemanage-common:all 3.9-1
2025-12-03 02:29:49 configure debconf:all 1.5.91 <none>
2025-12-03 02:29:49 status unpacked debconf:all 1.5.91
2025-12-03 02:29:49 status half-configured debconf:all 1.5.91
2025-12-03 02:29:49 status installed debconf:all 1.5.91
2025-12-03 02:29:49 configure tzdata:all 2025b-5 <none>
2025-12-03 02:29:49 status unpacked tzdata:all 2025b-5
2025-12-03 02:29:49 status half-configured tzdata:all 2025b-5
2025-12-03 02:29:49 status installed tzdata:all 2025b-5
2025-12-03 02:29:49 configure ncurses-base:all 6.5+20250216-2 <none>
2025-12-03 02:29:49 status unpacked ncurses-base:all 6.5+20250216-2
2025-12-03 02:29:49 status half-configured ncurses-base:all 6.5+20250216-2
2025-12-03 02:29:49 status installed ncurses-base:all 6.5+20250216-2
2025-12-03 02:29:49 configure init-system-helpers:all 1.69+kali1 <none>
